N	Axis1	Axis2	Axis3	Axis4	Axis5	color	text
138	-0.177733066	-0.069745322	0.040969423	0.012791746	0.026718168	"#0d34f6"	cult
218	-0.168149604	-0.069001865	0.029495114	0.027274723	0.022589277	"#0d34f6"	cult
2775	-0.167377998	-0.062130767	0.033294151	0.037007146	0.017086993	"#0d34f6"	cult
96	-0.181666156	-0.076334611	0.040802033	0.007794302	0.031186943	"#0d34f6"	cult
2893	-0.163328977	-0.061788794	0.040262915	0.001659658	0.038358164	"#0d34f6"	cult
2847	-0.183478206	-0.073747979	0.046475364	-0.004665107	0.033432736	"#0d34f6"	cult
455	-0.18675961	-0.076115152	0.046848821	-0.002153361	0.034312564	"#0d34f6"	cult
2895	-0.182590567	-0.075754779	0.045241213	0.000341392	0.037065205	"#0d34f6"	cult
441	-0.20208983	-0.089048531	0.048821775	-0.000138832	0.035034814	"#0d34f6"	cult
2629	-0.198262539	-0.079718044	0.048711889	-6.81E-05	0.035516427	"#0d34f6"	cult
2689	-0.197497709	-0.079849417	0.048530101	-0.000975556	0.035068354	"#0d34f6"	cult
2749	-0.197057918	-0.08255086	0.048982091	0.001776448	0.036328915	"#0d34f6"	cult
2831	-0.196230961	-0.084210971	0.047114099	0.002306621	0.038474651	"#0d34f6"	cult
2675	-0.19759141	-0.083386866	0.047429914	0.000613772	0.035654882	"#0d34f6"	cult
457	-0.19788148	-0.085286592	0.045581011	0.002348748	0.036923416	"#0d34f6"	cult
2714	-0.196003738	-0.084955104	0.046993169	0.002251875	0.036424485	"#0d34f6"	cult
2733	-0.199004404	-0.084997977	0.048712285	0.002828497	0.03847646	"#0d34f6"	cult
58	-0.185346237	-0.077535771	0.042270718	0.009855435	0.035781936	"#0d34f6"	cult
98	-0.172086647	-0.082724552	0.044389508	0.002928336	0.037101433	"#0d34f6"	cult
2882	-0.205013323	-0.079368468	0.051081004	0.007492128	0.035548271	"#0d34f6"	cult
2894	-0.213551578	-0.082335679	0.052821346	0.005903829	0.035000008	"#0d34f6"	cult
2876	-0.208592243	-0.085831224	0.050447889	0.009990592	0.034401238	"#0d34f6"	cult
2830	-0.211498302	-0.08524969	0.052604407	0.00548851	0.034456807	"#0d34f6"	cult
2768	-0.214635311	-0.085677467	0.052826995	0.006236799	0.034533711	"#0d34f6"	cult
2630	-0.213108224	-0.085516337	0.053970328	0.006573091	0.035726821	"#0d34f6"	cult
2632	-0.213819372	-0.085361412	0.052726653	0.006343415	0.034977929	"#0d34f6"	cult
2704	-0.215380196	-0.082420081	0.054419681	0.005144672	0.033743912	"#0d34f6"	cult
2888	-0.208848864	-0.091924315	0.052784989	0.008814257	0.039759887	"#0d34f6"	cult
2885	-0.206779818	-0.091157883	0.049888571	0.010858993	0.038779041	"#0d34f6"	cult
2896	-0.209463655	-0.08970231	0.051002683	0.009532038	0.038478056	"#0d34f6"	cult
2729	-0.215211387	-0.082076581	0.054787947	0.005468097	0.034085656	"#0d34f6"	cult
2897	-0.209911968	-0.08914181	0.050857937	0.010168831	0.037795174	"#0d34f6"	cult
2665	-0.215603491	-0.083191691	0.053941908	0.005371821	0.033599675	"#0d34f6"	cult
2804	-0.214311115	-0.087268551	0.053482548	0.005260152	0.036204045	"#0d34f6"	cult
166	-0.215284436	-0.088448179	0.05227273	0.007450617	0.035659521	"#0d34f6"	cult
2801	-0.215233963	-0.086739076	0.053365695	0.007441634	0.03549366	"#0d34f6"	cult
2770	-0.214411682	-0.084474688	0.052731168	0.006858574	0.034815228	"#0d34f6"	cult
2693	-0.218032525	-0.085391269	0.053898913	0.005394918	0.035116952	"#0d34f6"	cult
2780	-0.215687299	-0.086454843	0.053793173	0.007426079	0.035886809	"#0d34f6"	cult
2695	-0.216510213	-0.08684257	0.054115945	0.006957815	0.035663314	"#0d34f6"	cult
2680	-0.215388124	-0.089351335	0.053530082	0.006899341	0.036824673	"#0d34f6"	cult
