k21	k22	k31	k32	k33	k41	k42	k43	k44	k51	k52	k53	k54	k55	k61	k62	k63	k64	k65	k66	k71	k72	k73	k74	k75	k76	k77	k81	k82	k83	k84	k85	k86	k87	k88	k91	k92	k93	k94	k95	k96	k97	k98	k99
0.9999	0.0001	0.0026126	0.997287	1.00E-04	0.110979	0.00905881	0.879862	1.00E-04	0.0922117	0.0156904	1.00E-04	0.0994891	0.792509	0.0948357	0.00620107	0.0167652	0.782896	0.0992021	1.00E-04	0.0281933	0.00229254	0.000192755	0.0278137	0.0226226	0.0176364	0.901249	0.0138082	0.00382499	0.0381041	0.899286	0.0174083	0.00480478	0.019071	0.00369275	0.0374803	0.0109385	0.00789573	0.00220912	0.886007	1.00E-04	0.0183275	0.0170436	0.0199981
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.104321	1.00E-04	0.895479	1.00E-04	0.0749653	0.00658168	1.00E-04	0.101113	0.81724	0.0766256	0.00391716	0.0104974	0.81147	0.0973894	1.00E-04	0.0100029	1.00E-04	1.00E-04	0.0233436	0.0169686	0.0109903	0.938495	0.00147749	1.00E-04	0.026254	0.945047	0.0124257	1.00E-04	0.0144957	1.00E-04	0.0255159	0.00140271	1.00E-04	1.00E-04	0.939188	1.00E-04	0.0153046	0.0126992	0.00558965
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.109602	0.000125104	0.890173	1.00E-04	0.096334	0.00860738	1.00E-04	0.106336	0.788623	0.0943838	0.000963987	0.0113115	0.787969	0.105272	1.00E-04	0.0281245	1.00E-04	1.00E-04	0.013227	0.0276945	0.0119421	0.918812	0.0116885	1.00E-04	0.0400564	0.914087	0.019561	1.00E-04	0.0143073	1.00E-04	0.0443215	0.00200348	1.00E-04	1.00E-04	0.902779	1.00E-04	0.0159165	0.0223822	0.0122974
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.107084	1.00E-04	0.892716	1.00E-04	0.0938887	0.00864749	1.00E-04	0.100512	0.796852	0.0938507	0.00349393	0.00998889	0.795447	0.0971195	1.00E-04	0.0277005	1.00E-04	1.00E-04	0.0160925	0.0206784	0.0117904	0.923538	0.00798581	0.00131843	0.0374501	0.918528	0.0183035	0.00224197	0.0140723	1.00E-04	0.0440044	0.000470844	0.00313843	0.00181547	0.907051	1.00E-04	0.0147591	0.0173842	0.0112765
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.103004	0.000749197	0.896147	1.00E-04	0.0903981	0.0123447	1.00E-04	0.09746	0.799697	0.0862069	0.00970641	0.0116838	0.799573	0.0927298	1.00E-04	0.0232929	0.000769359	1.00E-04	0.0244678	0.0153097	0.013172	0.922888	0.0101052	0.00364269	0.0377772	0.914096	0.0138882	0.00159793	0.0160608	0.00283206	0.0403856	0.00490691	1.00E-04	0.00263995	0.908015	1.00E-04	0.0159723	0.0139918	0.0138885
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.29316	1.00E-04	0.70664	1.00E-04	0.0361097	1.00E-04	1.00E-04	0.292018	0.671672	0.0419736	1.00E-04	1.00E-04	0.666811	0.290916	1.00E-04	1.00E-04	1.00E-04	1.00E-04	0.0242293	0.218398	1.00E-04	0.756973	1.00E-04	1.00E-04	0.00428732	0.772774	0.219584	1.00E-04	1.00E-04	0.00295471	0.00173332	1.00E-04	1.00E-04	1.00E-04	0.761482	0.0104702	1.00E-04	0.225814	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0827582	1.00E-04	0.917042	1.00E-04	0.0656305	0.00789921	1.00E-04	0.0817391	0.844631	0.0676002	0.00468718	0.00989187	0.839305	0.0784155	1.00E-04	1.00E-04	1.00E-04	1.00E-04	0.0246679	1.00E-04	0.0106029	0.964329	1.00E-04	0.00104675	0.0139637	0.969028	1.00E-04	1.00E-04	0.0155612	1.00E-04	0.0209783	1.00E-04	1.00E-04	0.00115929	0.963403	1.00E-04	0.0139598	1.00E-04	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0819066	1.00E-04	0.917893	1.00E-04	0.0723717	0.0141848	1.00E-04	0.0746947	0.838649	0.0690199	0.00421324	0.0135793	0.83857	0.0745179	1.00E-04	0.00473112	1.00E-04	1.00E-04	0.0217356	1.00E-04	0.0152724	0.957961	1.00E-04	1.00E-04	0.0183245	0.961975	1.00E-04	1.00E-04	0.0192012	1.00E-04	0.0239667	0.00233369	1.00E-04	1.00E-04	0.955153	1.00E-04	0.0180463	1.00E-04	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0885333	1.00E-04	0.911267	1.00E-04	0.0604186	0.0185387	1.00E-04	0.0795804	0.841362	0.0652522	0.00480464	0.0182797	0.835764	0.0757992	1.00E-04	1.00E-04	1.00E-04	1.00E-04	0.0345453	1.00E-04	0.0191082	0.945947	1.00E-04	0.00185474	0.0156073	0.951025	1.00E-04	1.00E-04	0.021493	0.00972037	0.0170804	0.000398229	1.00E-04	0.0028901	0.948475	0.00794978	0.0229065	1.00E-04	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0933945	0.00315908	0.903346	1.00E-04	0.0669214	0.0214392	1.00E-04	0.0816048	0.829935	0.0645875	0.00723309	0.0194534	0.8308	0.0778263	1.00E-04	0.00259059	1.00E-04	1.00E-04	0.0269667	0.00250949	0.0229542	0.944779	1.00E-04	0.000843749	0.01854	0.956476	1.00E-04	1.00E-04	0.0237402	1.00E-04	0.0197784	1.00E-04	1.00E-04	0.00033085	0.952804	1.00E-04	0.0265867	1.00E-04	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0827147	1.00E-04	0.917085	1.00E-04	0.0626069	0.0143856	1.00E-04	0.07309	0.849817	0.0632629	0.00218708	0.0168785	0.844949	0.0726226	1.00E-04	1.00E-04	1.00E-04	1.00E-04	0.0224018	1.00E-04	0.0137946	0.963404	1.00E-04	1.00E-04	0.0125449	0.967517	1.00E-04	1.00E-04	0.0194386	1.00E-04	0.0160164	9.99E-05	9.99E-05	9.99E-05	0.963482	9.99E-05	0.0199018	9.99E-05	9.99E-05
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0857163	1.00E-04	0.914084	1.00E-04	0.0680597	0.0132364	1.00E-04	0.0794284	0.839176	0.0667593	0.00264436	0.0156713	0.836965	0.0778604	1.00E-04	1.00E-04	1.00E-04	1.00E-04	0.0231081	1.00E-04	0.0146285	0.961864	1.00E-04	1.00E-04	0.0154061	0.965212	1.00E-04	1.00E-04	0.0188823	1.00E-04	0.0199712	1.00E-04	1.00E-04	1.00E-04	0.960633	1.00E-04	0.0187956	1.00E-04	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0949299	0.00438696	0.900583	1.00E-04	0.0620182	0.0217028	1.00E-04	0.0891138	0.827065	0.0634786	0.00382627	0.022568	0.823402	0.0866251	1.00E-04	1.00E-04	1.00E-04	1.00E-04	0.028557	0.00658343	0.0226384	0.941921	1.00E-04	0.000924139	0.0161992	0.95103	0.00268923	1.00E-04	0.0262141	0.00274324	0.0176357	0.00584695	1.00E-04	0.00392894	0.939295	0.00181198	0.0272587	0.00402256	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0808155	1.00E-04	0.918985	1.00E-04	0.0555902	1.00E-04	1.00E-04	0.0799132	0.864297	0.0533486	1.00E-04	0.000852817	0.863348	0.0822502	1.00E-04	1.00E-04	1.00E-04	1.00E-04	0.0304735	1.00E-04	0.00111871	0.968008	1.00E-04	1.00E-04	0.005335	0.986909	1.00E-04	1.00E-04	0.00472251	0.00263316	0.0111069	1.00E-04	1.00E-04	1.00E-04	0.978728	0.00400046	0.00566458	1.00E-04	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.095924	0.00297074	0.901005	1.00E-04	0.0668352	0.0193	1.00E-04	0.0860677	0.827697	0.0624723	0.00637251	0.019506	0.824452	0.0870969	1.00E-04	0.000170709	0.000919727	1.00E-04	0.0276246	0.00727184	0.0224858	0.941427	1.00E-04	0.00492642	0.0172526	0.953888	1.00E-04	1.00E-04	0.0235327	1.00E-04	0.0192756	0.00282858	1.00E-04	0.00414798	0.943522	0.00352697	0.022774	0.00372449	1.00E-04
0.9999	0.0001	1.00E-04	0.9998	1.00E-04	0.0807618	0.0031972	0.915941	1.00E-04	0.0674076	0.0232402	1.00E-04	0.0742768	0.834975	0.0713419	0.00315848	0.0204627	0.83358	0.0713571	1.00E-04	0.00171988	1.00E-04	1.00E-04	0.0401546	1.00E-04	0.0222162	0.935609	1.00E-04	1.00E-04	0.0175897	0.942934	1.00E-04	1.00E-04	0.0263907	0.012686	0.0227699	0.000752954	1.00E-04	0.000388087	0.937036	0.0132032	0.0255496	1.00E-04	1.00E-04
